aid,title,publication_date,source_name,content,country,publisher,original_topics,other_metadata,mf_authorityvice,mf_authorityvirtue,mf_fairnessvice,mf_fairnessvirtue,mf_harmvice,mf_harmvirtue,mf_ingroupvice,mf_purityvirtue,mf_purityvice,mf_moralitygeneral,mf_ingroupvirtue,year
20190422000331384,"Roundup: Tanzanian economic growth hampered more by inflation, deficits Roundup: Tanzanian economic growth hampered more by inflation, deficits",2/7/09 12:00 AM,BulkLexisNexis,NA,"United Republic of Tanzania, Tanzania",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,2,0,1,0,0,3,0,1,0,0,2009
20190421235941392,World Bank official warns on human crisis in Africa,2/2/09 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Nigeria, Nigeria",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,2,0,0,0,0,2009
20190422000047168,World Bank official warns of human crisis in Africa,2/1/09 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,0,0,1,0,0,0,0,2009
20190422000047224,World Bank official warns of human crisis in Africa,2/1/09 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Nigeria, Nigeria",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,2,0,0,0,0,2009
20190422000047320,World Bank official warns of human crisis in Africa,2/1/09 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,0,0,1,0,0,0,0,2009
20190421235941936,World Bank official warns on human crisis in Africa,2/2/09 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Nigeria, Nigeria",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,2,0,0,0,0,2009
20190422033755312,Foreign aid disbursement in Bangladesh increases 74 pct in July-November,1/11/10 12:00 AM,BulkLexisNexis,NA,United States|Bangladesh,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,0,0,1,0,0,0,0,2010
20190422033755468,News items from Asia-Pacific Desk of Xinhua,1/11/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|Macau Special Administrative Region, Macao|Democratic Republic of the Congo|Bangladesh|New Zealand|Republic of India, India|Republic of the Philippines, Philippines|Japan|Federal Democratic Republic of Nepal, Patheka, Nepal|Lao People's Democratic Republic, Laos|Hashemite Kingdom of Jordan, Jordan|People's Republic of China, China|United States|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Malaysia|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",2,3,0,0,10,5,13,1,1,0,3,2010
20190422033636384,News items from Asia-Pacific Desk of Xinhua,1/11/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|Macau Special Administrative Region, Macao|Democratic Republic of the Congo|Bangladesh|New Zealand|Republic of India, India|Republic of the Philippines, Philippines|Japan|Federal Democratic Republic of Nepal, Patheka, Nepal|Lao People's Democratic Republic, Laos|Hashemite Kingdom of Jordan, Jordan|People's Republic of China, China|United States|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Malaysia|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",2,3,0,0,10,5,13,1,1,0,3,2010
20190422033636424,Foreign aid disbursement in Bangladesh increases 74 pct in July-November,1/11/10 12:00 AM,BulkLexisNexis,NA,United States|Bangladesh,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,0,0,1,0,0,0,0,2010
20190422040510504,Roundup: Brazilian president reaffirms support for Haiti,2/25/10 12:00 AM,BulkLexisNexis,NA,"Federative Republic of Brazil, Brazil|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,3,0,0,1,1,2,0,0,1,9,2010
20190422040510512,"Brazil, Haiti sign aid agreements",2/25/10 12:00 AM,BulkLexisNexis,NA,"Federative Republic of Brazil, Brazil|United States|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,1,0,1,1,0,0,1,2010
20190422040510620,"Presidents of China, Zambia pledge to elevate relationship",2/25/10 12:00 AM,BulkLexisNexis,NA,"Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""DOMESTIC NEWS; Political""}",0,2,0,0,0,1,1,0,0,1,1,2010
20190422034121748,Indonesian president calls for faster response to disasters,1/14/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,4,0,2,0,0,0,0,2010
20190422034104088,Major news items in leading Turkish newspapers,1/15/10 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",0,0,0,1,0,0,1,0,0,0,2,2010
20190422034721176,Interview: Challenge for Haiti to get long-term int'l aid: ECLAC,1/21/10 12:00 AM,BulkLexisNexis,NA,"People's Republic of China, China|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,1,0,0,0,4,2010
20190422033845288,U.S. congressman wants foreign diplomats to pay NYC parking fees,1/12/10 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Nigeria, Nigeria|State of Kuwait, Kuwait|Arab Republic of Egypt, Egypt|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,1,0,1,2,0,0,1,1,2010
20190422034103400,U.S. congressman wants foreign diplomats to pay NYC parking fees,1/12/10 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Nigeria, Nigeria|State of Kuwait, Kuwait|Arab Republic of Egypt, Egypt|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,1,0,1,2,0,0,1,1,2010
20190422034721760,News items from Asia-Pacific Desk of Xinhua,1/26/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|Bangladesh|New Zealand|Republic of India, India|Republic of Rwanda, Rwanda|Republic of the Philippines, Philippines|Japan|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Federal Democratic Republic of Nepal, Patheka, Nepal|Lao People's Democratic Republic, Laos|People's Republic of China, China|United States|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Malaysia|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",0,2,0,0,2,1,11,0,0,0,2,2010
20190422034104960,Indonesian president calls for faster response to disasters,1/14/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,4,0,2,0,0,0,0,2010
20190422034720652,Interview: Challenge for Haiti to get long-term int'l aid: ECLAC,1/21/10 12:00 AM,BulkLexisNexis,NA,"People's Republic of China, China|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,1,0,0,0,4,2010
20190422035146820,"3rd LD Wrtitethru: Roadside bomb kills 4 U.S. aid workers, 4 school children in NW Pakistan",2/3/10 12:00 AM,BulkLexisNexis,NA,"Islamic Republic of Pakistan, Pakistan",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,1,0,0,11,4,3,0,0,0,1,2010
20190422035147108,"3rd LD Wrtitethru: Roadside bomb kills 4 U.S. aid workers, 4 school children in NW Pakistan",2/3/10 12:00 AM,BulkLexisNexis,NA,"Islamic Republic of Pakistan, Pakistan",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,1,0,0,11,4,3,0,0,0,1,2010
20190426212928168,"Haitian government receives only fraction of pledged aid, urges coordination of NGOs",3/23/10 12:00 AM,BulkLexisNexis,NA,"United States|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,1,0,0,2,0,1,0,0,0,5,2010
20190426212615224,"Sri Lanka targets 4,000 USD per capita income by 2014",3/18/10 12:00 AM,BulkLexisNexis,NA,"Democratic Socialist Republic of Sri Lanka, Sri Lanka|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,0,0,0,0,0,1,0,0,0,0,2010
20190426210425e3,News items from Asia-Pacific Desk of Xinhua,3/1/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|State of Israel, Israel|Macau Special Administrative Region, Macao|Taiwan|Bangladesh|New Zealand|Republic of India, India|Japan|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Federal Democratic Republic of Nepal, Patheka, Nepal|Republic of Iraq, Iraq|People's Republic of China, China|Islamic Republic of Iran, Iran|Islamic Republic of Pakistan, Pakistan|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Malaysia|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Islamic Republic of Afghanistan, Afghanistan|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",0,1,0,0,8,3,9,0,0,1,2,2010
20190426210425200,Jordan's budget deficit hits about 2 billion USD in 2009,2/28/10 12:00 AM,BulkLexisNexis,NA,"Hashemite Kingdom of Jordan, Jordan|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,0,0,0,0,0,3,0,0,0,0,2010
20190426210123408,Roundup: Brazilian president reaffirms support for Haiti,2/25/10 12:00 AM,BulkLexisNexis,NA,"Federative Republic of Brazil, Brazil|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,3,0,0,1,1,2,0,0,1,9,2010
20190426210123424,"Presidents of China, Zambia pledge to elevate relationship",2/25/10 12:00 AM,BulkLexisNexis,NA,"Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""DOMESTIC NEWS; Political""}",0,2,0,0,0,1,1,0,0,1,1,2010
20190426210123448,"Brazil, Haiti sign aid agreements",2/25/10 12:00 AM,BulkLexisNexis,NA,"Federative Republic of Brazil, Brazil|United States|Republic of Haiti, Haiti",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,1,0,1,1,0,0,1,2010
20190426210246712,"China, Zambia reaffirm to seek stronger relationship",2/26/10 12:00 AM,BulkLexisNexis,NA,"Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""DOMESTIC NEWS; Political""}",0,1,0,0,0,0,1,0,0,0,2,2010
20190426210423864,"China, Zambia reaffirm to seek stronger relationship",2/26/10 12:00 AM,BulkLexisNexis,NA,"Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""DOMESTIC NEWS; Political""}",0,1,0,0,0,0,1,0,0,0,2,2010
20190426210424324,News items from Asia-Pacific Desk of Xinhua,3/1/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|State of Israel, Israel|Macau Special Administrative Region, Macao|Taiwan|Bangladesh|New Zealand|Republic of India, India|Japan|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Federal Democratic Republic of Nepal, Patheka, Nepal|Republic of Iraq, Iraq|People's Republic of China, China|Islamic Republic of Iran, Iran|Islamic Republic of Pakistan, Pakistan|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Malaysia|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Islamic Republic of Afghanistan, Afghanistan|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",0,1,0,0,8,3,9,0,0,1,2,2010
20190426230824444,Britain can no longer afford all-round defense: defense secretary,7/23/10 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Germany, Germany|Republic of Iraq, Iraq|United Kingdom of Great Britain and Northern Ireland, United Kingdom|United States|Islamic Republic of Afghanistan, Afghanistan",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Military""}",0,1,0,1,3,11,1,0,0,0,3,2010
20190426230825988,"Roundup: PNA to suffer financial crisis if donors continue not to pay, officials say",7/27/10 12:00 AM,BulkLexisNexis,NA,United States,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,3,0,0,1,0,2,0,0,0,1,2010
20190426230824984,Britain can no longer afford all-round defense: defense secretary,7/23/10 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Germany, Germany|Republic of Iraq, Iraq|United Kingdom of Great Britain and Northern Ireland, United Kingdom|United States|Islamic Republic of Afghanistan, Afghanistan",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Military""}",0,1,0,1,3,11,1,0,0,0,3,2010
20190426230458900,"Somalia militia attack Kenyan border, injuring policeman",7/20/10 12:00 AM,BulkLexisNexis,NA,"Republic of Kenya, Kenya|Republic of Uganda, Uganda|Somalia|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",1,0,0,0,7,2,3,0,0,1,5,2010
20190426230458996,Jordan's budget deficit hits about 193 mln dollars in first five month,7/20/10 12:00 AM,BulkLexisNexis,NA,"Hashemite Kingdom of Jordan, Jordan|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,3,0,0,0,0,2010
20190426230458008,Urgent: Mauritanian court sentences Malian for kidnapping foreigners,7/21/10 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,1,0,0,0,0,2010
20190426230458008,Mauritanian court sentences Malian for kidnapping foreigners,7/21/10 12:00 AM,BulkLexisNexis,NA,"Republic of Mali, Mali",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,1,1,0,0,0,0,2010
20190426230458008,2nd LD Mauritanian court sentences Malian for kidnapping foreigners,7/21/10 12:00 AM,BulkLexisNexis,NA,"Republic of Mali, Mali",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,1,1,0,0,0,0,2010
20190426230458248,Commentary: Sixty years of foreign aid sees China intensify cooperation in global development,7/20/10 12:00 AM,BulkLexisNexis,NA,"Republic of Kenya, Kenya|Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,1,0,0,0,1,3,0,0,2,1,2010
20190426230458352,"Somalia militia attack Kenyan border, injuring policeman",7/20/10 12:00 AM,BulkLexisNexis,NA,"Republic of Kenya, Kenya|Republic of Uganda, Uganda|Somalia|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",1,0,0,0,7,2,3,0,0,1,5,2010
20190426230825272,"Roundup: PNA to suffer financial crisis if donors continue not to pay, officials say",7/27/10 12:00 AM,BulkLexisNexis,NA,United States,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,3,0,0,1,0,2,0,0,0,1,2010
20190426230457512,2nd LD Mauritanian court sentences Malian for kidnapping foreigners,7/21/10 12:00 AM,BulkLexisNexis,NA,"Republic of Mali, Mali",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,1,1,0,0,0,0,2010
20190426230457540,Mauritanian court sentences Malian for kidnapping foreigners,7/21/10 12:00 AM,BulkLexisNexis,NA,"Republic of Mali, Mali",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,1,1,0,0,0,0,2010
20190426230457544,Urgent: Mauritanian court sentences Malian for kidnapping foreigners,7/21/10 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,1,0,0,0,0,2010
20190426230458432,Jordan's budget deficit hits about 193 mln dollars in first five month,7/20/10 12:00 AM,BulkLexisNexis,NA,"Hashemite Kingdom of Jordan, Jordan|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,0,0,3,0,0,0,0,2010
20190426230458680,Commentary: Sixty years of foreign aid sees China intensify cooperation in global development,7/20/10 12:00 AM,BulkLexisNexis,NA,"Republic of Kenya, Kenya|Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,1,0,0,0,1,3,0,0,2,1,2010
20190426224331036,"Roundup: British coalition's first budget raises tax, cuts public spending",6/23/10 12:00 AM,BulkLexisNexis,NA,"Federal Republic of Germany, Germany|Republic of France, France|United Kingdom of Great Britain and Northern Ireland, United Kingdom|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,2,1,2,3,4,1,1,1,2,3,2010
20190426224732724,China remains strong supporter of South-South Cooperation,6/29/10 12:00 AM,BulkLexisNexis,NA,"Republic of Zambia, Zambia|United Republic of Tanzania, Tanzania|People's Republic of China, China|United States",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,2,0,0,0,2,1,0,0,2,0,2010
20190426224202004,News items from Asia-Pacific Desk of Xinhua,6/21/10 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Federal Republic of Germany, Germany|Macau Special Administrative Region, Macao|Bangladesh|New Zealand|Republic of India, India|Democratic Socialist Republic of Sri Lanka, Sri Lanka|People's Republic of China, China|Islamic Republic of Pakistan, Pakistan|United States|Socialist Republic of Vietnam, Vietnam|Republic of Paraguay, Paraguay|Malaysia|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Islamic Republic of Afghanistan, Afghanistan|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",0,7,0,0,6,1,6,1,0,2,3,2010
20190426224202168,Roundup: Bangladesh sees 1.83 bln USD foreign aid disbursement in July-May,6/21/10 12:00 AM,BulkLexisNexis,NA,United States|Bangladesh,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,0,0,0,0,0,6,0,0,0,0,2010
20190426224518132,Nepali gov't to announce new fiscal year budget,6/26/10 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,0,0,0,0,0,1,0,0,0,0,2010
20190426224518376,Nepali gov't to announce new fiscal year budget,6/26/10 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,0,0,0,0,0,1,0,0,0,0,2010
